district,Micro No,Small No,Medium No,Other MSME No,MSME Total No.
Anjaw,5,1,0,0,6
Changlang,92,4,0,21,117
Dibang Valley,15,5,0,0,20
East Kameng,186,14,0,5,205
East Siang,2614,70,0,254,2938
Kamle,10.5,1.55,0.05,3.225,15.325000000000001
Kra Daadi,89,12,0,0,101
Kurung Kumey,63,21,0,0,84
Lohit,179,21,0,24,224
Longding,37,7,0,0,44
Lower Dibang Valley,149,27,0,21,197
Lower Subansiri,409.5,60.45,1.95,125.775,597.675
Namsai,262,47,0,21,330
Pakke Kessang,23,2,0,0,25
Papum Pare,9360,1626,391,766,12143
Shi Yomi,0,0,0,0,0
Siang,24,1,0,13,38
Tawang,385,82,1,6,474
Tirap,51,16,0,1,68
Upper Siang,28,16,0,45,89
Upper Subansiri,312,53,0,195,560
West Kameng,678,70,0,26,774
West Siang,760,46,0,195,1001
