district,Micro,Small,Medium,KVIC,Other MSME,Total MSME NPA
Anjaw,0,0,0,0,0,0
Changlang,18,0,0,0,0,18
Dibang Valley,1,0,0,0,0,1
East Kameng,62,8,0,1,1,72
East Siang,257,89,0,0,31,377
Kamle,0,0,0,0,0,0
Kra Daadi,0,1,0,0,0,1
Kurung Kumey,41,10,0,0,2,53
Lepa Rada,0,0,0,0,7,7
Lohit,17,0,0,1,2,20
Longding,0,0,0,0,0,0
Lower Dibang Valley,2,0,0,0,5,7
Lower Siang,0,0,0,0,14,14
Lower Subansiri,126,24,0,3,14,167
Namsai,130,0,0,0,1,131
Pakke Kessang,0,0,0,0,0,0
Papum Pare,2349,500,4,30,155,3038
Shi Yomi,0,0,0,0,0,0
Siang,0,0,0,0,2,2
Tawang,68,10,0,1,0,79
Tirap,17,0,0,0,1,18
Upper Siang,11,1,0,0,2,14
Upper Subansiri,67,6,0,4,54,131
West Kameng,46,0,0,0,1,47
West Siang,29,51,0,0,7,87
