district,PMJDY No,PMJDY Cumml No,PMJJBY No,PMJJBY Cumml No,PMSBY No.,PMSBY Cumml No.,APY No,APY Cumml No
Baksa,6942,342629,186,6646,293,15922,238,3078
Barpeta,14304,976050,751,42022,2473,113326,1644,13167
Biswanath,3309,213501,618,10903,1158,29040,446,8807
Bongaigaon,11757,314152,395,23126,713,92168,540,4649
Cachar,23270,770059,1304,69168,1557,109415,948,14562
Charaideo,3248,155265,204,7939,94,10778,107,3180
Chirang,6870,266238,246,5757,545,14071,198,2312
Darrang,6824,518241,1276,37540,1558,82023,561,6442
Dhemaji,19785,573861,315,29307,833,61636,768,7961
Dhubri,23812,1016819,314,36580,1195,102452,679,8124
Dibrugarh,14014,511754,7792,71536,11564,129474,3511,19230
Dima Hasao,1848,50923,209,19451,328,53009,79,4549
Goalpara,9102,479066,651,39996,938,67596,512,5385
Golaghat,10769,552733,2603,57751,1856,81897,628,11577
Hailakandi,9583,387358,408,40272,627,62081,348,5134
Hojai,7027,278512,640,18065,676,17706,290,4611
Jorhat,35617,427797,673,51582,1287,108673,1572,13881
Kamrup,19241,684528,1185,89954,2145,192550,1287,23580
Kamrup Metro,7475,257362,3320,48514,1481,88896,1378,20382
Karbi Anglong,4528,236100,191,52998,445,127262,581,23719
Karimganj,14753,585687,441,44542,598,64965,333,7087
Kokrajhar,5054,412239,308,25354,549,57790,267,4007
Lakhimpur,19666,627077,1040,31427,1684,83753,1007,11022
Majuli,2043,86222,93,5543,44,4573,19,997
Morigaon,14221,596764,590,54427,583,69108,361,7967
Nagaon,33279,1529923,1561,64261,2557,206415,2078,18733
Nalbari,6306,343965,850,33337,1316,85484,721,8283
Sivasagar,6130,355905,1271,54585,1211,91752,715,10545
Sonitpur,13728,549205,961,41723,1465,96011,654,11902
South Salmara,1460,49081,155,202,4,998,6,133
Tinsukia,31294,583613,827,46810,1267,95963,1347,12488
Udalguri,4194,460757,229,7295,569,14130,99,1768
West Karbi Anglong,124,765,18,100,44,299,49,79
