District,Total Branch,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,KVIC No.,KVIC Amt,Other Msme No.,Other Msme Amt,Tot Msme (PS) NPA No.,Tot Msme (PS) NPA Amt
Bajali,34,801,677.34,4,12.31,0,0,15,26.10,364,58.79,1184,774.54
Baksa,35,1339,1205.56,12,35.60,0,0,258,330.56,189,41.52,1798,1613.24
Barpeta,93,4499,5470.64,48,384.99,2,6.78,113,192.47,1141,227.77,5803,6282.65
Biswanath,62,2328,2231.30,18,154.13,0,0,26,31.07,1031,246.29,3403,2662.79
Bongaigaon,66,2277,2322.74,37,1456.00,0,0,89,115.09,495,98.49,2898,3992.32
Cachar,169,6236,9439.75,313,3337.97,7,7.68,144,202.22,690,354.22,7390,13341.84
Charaideo,37,1093,1382.80,37,157.00,0,0,40,78.28,84,15.18,1254,1633.26
Chirang,40,2323,1868.22,8,5.98,0,0,521,552.68,260,50.04,3112,2476.92
Darrang,70,3679,4228.63,64,694.55,2,1.33,105,151.12,1159,248.74,5009,5324.37
Dhemaji,50,2267,1906.79,56,322.32,1,5.86,63,89.49,1598,335.99,3985,2660.45
Dhubri,89,4598,3091.25,37,86.88,1,0.52,194,245.80,201,59.74,5031,3484.19
Dibrugarh,187,7416,12111.96,257,2692.47,9,49.73,172,304.39,906,347.39,8760,15505.94
Dima Hasao,33,709,537.09,5,3.52,0,0,12,26.27,4,2.40,730,569.28
Goalpara,72,3323,3617.76,52,95.28,0,0,170,237.94,990,194.61,4535,4145.59
Golaghat,126,3802,3763.44,111,1373.40,0,0,75,125.24,773,211.74,4761,5473.82
Hailakandi,48,1943,1916.75,64,203.24,1,0.28,121,193.87,186,73.63,2315,2387.77
Hojai,65,2879,3635.16,164,767.66,2,2.18,11,34.76,965,178.12,4021,4617.88
Jorhat,141,4215,7853.16,110,2256.53,14,851.35,69,102.20,678,220.70,5086,11283.94
Kamrup Metro,175,5639,6475.59,152,325.65,1,11.12,289,568.42,2427,531.69,8508,7912.47
Karbi Anglong,65,1717,1533.76,36,50.06,0,0,104,44.08,48,7.04,1905,1634.94
Kokrajhar,58,2907,3599.29,10,258.59,0,0,555,638.30,314,92.54,3786,4588.72
Lakhimpur,91,5598,4764.45,406,469.95,19,9.11,64,92.78,3703,999.28,9790,6335.57
Majuli,16,363,354.95,25,30.93,0,0,9,10.15,158,35.41,555,431.44
Morigaon,70,3707,4561.63,392,913.32,3,45.32,128,206.06,570,157.28,4800,5883.61
Nagaon,153,7818,8046.71,233,1631.91,3,6.16,224,332.01,1025,314.39,9303,10331.18
Nalbari,86,3809,3856.87,75,300.53,2,1.18,239,381.38,603,116.98,4728,4656.94
Sivasagar,102,3458,4975.00,53,684.48,1,1.21,78,169.56,659,196.96,4249,6027.21
Sonitpur,132,5500,7750.34,108,441.32,9,18.89,200,363.86,887,246.70,6704,8821.11
South Salmara,14,830,1010.01,-,-,0,0,111,203.15,0,0.00,941,1213.16
Tamulpur,21,847,675.60,3,13.76,0,0,80,93.31,316,61.38,1246,844.05
Tinsukia,153,5759,8705.48,233,970.87,4,381.95,204,312.50,700,186.69,6900,10557.49
Udalguri,55,4192,5048.09,18,223.24,0,0,373,654.67,687,133.69,5270,6059.69
West Karbi Anglong,22,332,127.37,2,4.14,0,0,0,0,2,0.68,336,132.19
