district,msme_medium_target,msme_medium_disbursed_no,msme_medium_disbursed_amt,msme_medium_pct
Araria,227669,1505.09,84754,718.01
Arwal,32210,178.66,8407,70.20
Aurangabad,132917,855.17,38941,349.46
Banka,109343,586.98,34224,259.38
Begusarai,305902,2024.09,93731,904.68
Bhagalpur,234378,2079.13,83633,902.09
Bhojpur,150846,1005.25,45658,432.49
Buxar,91281,600.44,28300,261.74
Darbhanga,367467,2464.92,119007,1036.32
Gaya,355549,2373.66,107552,945.91
Gopalganj,200078,1316.77,61610,549.50
Jamui,90406,535.48,29506,269.60
Jehanabad,41478,365.53,11152,139.04
Kaimur (Bhabua),79224,480.80,25016,234.52
Katihar,296037,1886.58,109963,868.40
Khagaria,117805,712.14,32950,323.15
Kishanganj,144354,986.02,64580,553.99
Lakhisarai,62877,401.08,17836,176.35
Madhepura,202002,1128.59,53561,416.87
Madhubani,244280,1999.24,77424,737.74
Munger,82098,623.61,25860,267.56
Muzaffarpur,589762,4223.68,172933,1615.75
Nalanda,133341,1088.55,43156,440.18
Nawada,114246,794.84,36808,338.83
Pashchim Champaran,239137,1735.11,78903,698.01
Patna,1385764,12704.87,405821,4421.11
Purbi Champaran,440316,2848.45,167195,1270.89
Purnia,260907,2023.05,98072,897.79
Rohtas,147931,1055.93,42758,424.15
Saharsa,119222,1025.75,41464,366.74
Samastipur,296529,1934.65,91100,861.27
Saran,329048,2102.85,122766,1009.29
Sheikhpura,36054,263.77,10828,115.19
Sheohar,25960,209.26,7349,76.70
Sitamarhi,141408,1311.75,47430,468.26
Siwan,277459,1851.76,97949,846.27
Supaul,84891,825.62,33101,306.12
Vaishali,216852,1958.14,83647,873.72
