District,Target,"Forwarded to Bank No of
Prj. (F)","MM
Involve (In Lakh) (G)","Sanctioned by
Bank No of Prj. (H)","MM
Involve (In Lakh) (I)","%
Sanction","Margin Money
Claimed No of Prj. (J)",MM (In Lakh) (K),"Disbursement
Made by Bank No of Prj. (L)",MM (In Lakh) (M),"%
Disburse
ment","Applications
Rejected BY Bank No of
Prj. (P)","MM
Involve (In Lakh) (Q)","Pending at Bank No of
Prj. (R)","MM
Involve (In Lakh) (S)","Pending for MM
Disbursement No of
Prj. (T)",MM (In Lakh) (U)
Araria,1,6,0,2,0,200.00,1,3,0,0,0.00,2,0,2,0,1,3
Arwal,1,2,0,1,0,100.00,1,14.72,0,0,0.00,0,0,1,0,1,14.72
Aurangabad,2,3,0,0,0,0.00,2,18,1,3,50.00,1,0,2,0,1,15
Banka,1,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0
Begusarai,2,1,0,0,0,0.00,1,2.25,0,0,0.00,1,0,0,0,1,2.25
Bhagalpur,2,1,0,0,0,0.00,1,3.07,1,3.07,50.00,1,0,0,0,0,0
Bhojpur,2,4,0,1,0,50.00,0,0,0,0,0.00,2,0,1,0,0,0
Buxar,2,2,0,0,0,0.00,1,0.94,1,0.94,50.00,0,0,2,0,0,0
Darbhanga,2,5,0,1,0,50.00,1,1.43,0,0,0.00,2,0,2,0,1,1.43
Gaya,2,4,0,3,0,150.00,4,19.17,2,14.67,100.00,1,0,1,0,2,4.5
Gopalganj,2,4,0,3,0,150.00,0,0,0,0,0.00,0,0,2,0,0,0
Jamui,1,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0
Jehanabad,2,2,0,2,0,100.00,2,22.5,1,15,50.00,0,0,1,0,1,7.5
Kaimur (Bhabua),1,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0
Katihar,2,1,0,1,0,50.00,1,7.46,1,7.46,50.00,0,0,0,0,0,0
Khagaria,1,2,0,0,0,0.00,0,0,0,0,0.00,1,0,1,0,0,0
Kishanganj,2,4,0,3,0,150.00,2,3.05,0,0,0.00,0,0,1,0,2,3.05
Lakhisarai,1,1,0,0,0,0.00,0,0,0,0,0.00,0,0,1,0,0,0
Madhepura,2,2,0,0,0,0.00,0,0,0,0,0.00,0,0,2,0,0,0
Madhubani,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0
Munger,2,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0
Muzaffarpur,2,4,0,2,0,100.00,3,16.95,2,15.75,100.00,0,0,3,0,1,1.2
Nalanda,2,4,0,2,0,100.00,5,23.69,2,16.5,100.00,0,0,2,0,3,7.19
Nawada,2,2,0,1,0,50.00,2,21,1,15,50.00,0,0,1,0,1,6
Pashchim Champaran,2,6,0,2,0,100.00,2,16.8,1,15,50.00,2,0,2,0,1,1.8
Patna,3,5,0,1,0,33.33,6,41.25,5,33.75,166.67,1,0,3,0,1,7.5
Purbi Champaran,2,2,0,2,0,100.00,0,0,0,0,0.00,0,0,1,0,0,0
Purnia,2,2,0,0,0,0.00,1,2.25,1,2.25,50.00,0,0,2,0,0,0
Rohtas,2,3,0,0,0,0.00,0,0,0,0,0.00,0,0,3,0,0,0
Saharsa,1,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0
Samastipur,2,2,0,0,0,0.00,0,0,0,0,0.00,1,0,1,0,0,0
Saran,2,7,0,2,0,100.00,2,6,1,4.5,50.00,0,0,5,0,1,1.5
Sheikhpura,1,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0
Sheohar,1,0,0,0,0,0.00,0,0,0,0,0.00,0,0,0,0,0,0
Sitamarhi,1,1,0,0,0,0.00,2,8.53,0,0,0.00,0,0,1,0,2,8.53
Siwan,2,1,0,1,0,50.00,1,0.72,0,0,0.00,0,0,0,0,1,0.72
Supaul,1,1,0,0,0,0.00,0,0,0,0,0.00,0,0,1,0,0,0
Vaishali,2,4,0,1,0,50.00,1,8.25,0,0,0.00,0,0,4,0,1,8.25
