district,outstanding_as_of_last_fy_2022_23_number,amount,total_disbursment_during_this_current_afy_number,amount,outstanding_at_the_end_of_reporting_quarter_number,amount,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_number",kcc_card_activated_number,col_10
Bokaro,55415,32791,6561,4542,54420,31342,34849,18641,
Chatra,56790,29591,4936,2797,56100,29305,41058,23919,
Deoghar,87977,44595,8914,5023,87770,43927,48230,36169,
Dhanbad,47853,28060,3714,3953,45123,26121,22123,10924,
Dumka,68729,29245,5610,2660,67624,28868,40792,28368,
East Singhbhum,79817,44787,9081,6496,78498,43538,56471,34133,
Garhwa,59820,48489,3817,3092,60159,48557,39254,33898,
Giridih,85258,43210,6411,4105,85711,43065,52254,26361,
Godda,60114,35380,6143,3656,60878,35848,34951,22669,
Gumla,54959,25233,2511,1629,54544,25400,32148,18350,
Hazaribagh,79067,49597,7618,5515,78662,48979,54977,27305,
Jamtara,49417,25769,3558,1824,48092,25419,32097,22875,
Khunti,27146,12719,2634,1500,26923,12707,15210,7872,
Koderma,32094,17539,2922,1438,31483,16646,25495,11118,
Latehar,31149,20635,3326,1579,31351,21276,21365,15592,
Lohardaga,34120,18730,2162,1653,34057,18609,22372,12555,
Pakur,29946,19658,3412,1385,29771,19721,15175,8897,
Palamu,86579,65855,5716,4465,86882,64911,53984,47726,
Ramgarh,28563,16770,2385,1458,27206,15743,16112,9700,
Ranchi,96820,63212,8089,5660,96440,60893,55207,34181,
Sahibganj,43423,29456,4439,2670,43102,28931,19668,12103,
Seraikela-Kharsawan,57248,30576,5696,3288,57522,31696,43032,23757,
Simdega,22700,9700,1573,776,22582,9346,15936,8057,
West Singhbhum,71141,41812,6524,3144,70389,42062,47896,31940,
