district,Micro No.,Micro Amt.,Small No.,Small Amt.,Medium No.,Medium Amt.,Other MSME No.,Other MSME Amt.,MSME Total O/S No.,MSME Total O/S Amount
Bishnupur,7219,4781.74,120,328.59,19,54.41,307,153.41,7665,5318.15
Chandel,401,450.97,3,25.25,0,0,56,27.15,460,503.37
Churachandpur,2585,3782.68,166,988.48,53,160.7,267,167.71,3071,5099.57
Imphal East,18176,14060.45,506,4528.06,69,921.98,178,77.68,18929,19588.17
Imphal West,25386,43251.94,1265,20515.12,203,8531.76,1627,1528.36,28481,73827.18
Jiribam,4137,1660.11,70,38.97,0,0,0,0,4207,1699.08
Kakching,6469,3889.54,396,1044.71,0,0,43,19.24,6908,4953.49
Kamjong,107,110.37,0,0,0,0,1,0.43,108,110.8
Kangpokpi,933,2106.07,11,59.27,0,0,4,20.97,948,2186.31
Noney,418,400.05,0,0,0,0,3,1.56,421,401.61
PHERZAWAL,8,9.15,0,0,0,0,0,0,8,9.15
Senapati,1681,2868.26,186,978.03,1,57.51,13,5.75,1881,3909.55
Tamenglong,622,648.93,81,94.69,0,0,0,0,703,743.62
Tengnoupal,680,719.01,122,114.36,0,0,48,21.85,850,855.22
Thoubal,12549,7474.8,97,655.18,19,255.61,167,76.2,12832,8461.79
Ukhrul,891,1040.49,93,133.58,5,4.45,8,3.73,997,1182.25
