district,Rural No,Urban No,Male No,Female No,Total PMJDY No.,Noof Zero Balance A/c,Amt Depositsheldinthe A/c,Noof Rupay Card Issued,Noof Rupay Card Activated,Noof Aadhaar Seeded
Bishnupur,87936,57033,57213,87531,144744,17001,2730.88,90751,46453,103617
Chandel,13060,0,5931,7126,13057,845,432.63,12456,5299,9013
Churachandpur,92558,3752,43983,52313,96296,7835,3370.35,75044,31556,60631
Imphal East,92568,47374,55916,83914,139830,17568,3069.32,92833,35922,98099
Imphal West,50021,202083,101181,150847,252028,29163,6219.36,190346,81019,185833
Jiribam,19595,0,8441,11154,19595,3491,730.24,15981,6634,17210
Kakching,27437,49124,32531,43965,76496,8744,1221.79,55419,22546,55351
Kamjong,3930,0,1871,2058,3929,160,297.21,3447,1816,2396
Kangpokpi,29075,1189,14655,15604,30259,5511,793.84,21174,11167,16001
Noney,9549,0,5027,4495,9522,237,596.03,7976,4379,5693
Pherzawl,0,0,0,0,0,0,0,0,0,0
Senapati,39017,0,17987,20938,38925,1411,1629.43,42507,13223,22696
Tamenglong,4309,21562,13779,12092,25871,7381,476.02,27438,9953,15348
Tengnoupal,10716,6184,7576,9308,16884,1491,580.25,17702,6156,12389
Thoubal,74660,71027,61679,83878,145557,18235,2395.31,87466,37163,95742
Ukhrul,5422,66257,36269,35397,71666,15526,3000.45,63716,15639,33926
