district,Sishu No,Sishu amt,Kishore no,Kishore Amt,Tarun No,Tarun Amt,Tarun Plus No.,Tarun Plus Amt.,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Bishnupur,70,53.93,441,751.50,38,278.25,0,0.00,549,1083.68
Chandel,1,0.29,112,195.40,1,6.00,0,0.00,114,201.69
Churachandpur,56,79.64,264,695.70,197,1683.86,6,103.80,523,2563.00
Imphal East,104,187.08,930,1990.84,154,946.94,2,23.73,1190,3148.59
Imphal West,205,1124.98,1326,2964.41,359,2357.91,9,140.70,1899,6588.00
Jiribam,1,0.50,10,15.42,2,7.97,0,0.00,13,23.89
Kakching,20,7.45,330,692.58,49,291.42,0,0.00,399,991.45
Kamjong,17,7.97,1,4.00,0,0.00,0,0.00,18,11.97
Kangpokpi,10,2.41,176,650.09,36,283.16,0,0.00,222,935.66
Noney,7,3.50,41,87.09,5,36.09,0,0.00,53,126.68
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Senapati,16,42.22,93,313.43,162,1389.60,0,0.00,271,1745.25
Tamenglong,4,1.51,34,85.46,15,120.87,0,0.00,53,207.84
Tengnoupal,1,0.45,43,95.25,3,25.55,0,0.00,47,121.25
Thoubal,93,112.58,616,1386.84,89,606.72,0,0.00,798,2106.14
Ukhrul,78,38.66,179,310.75,24,181.74,0,0.00,281,531.15
