District,Current Year Disbursement No.,Current Year Disbursement Amt,Outstanding No.,Outstanding Amt
Eastern West Khasi Hills,55,79.77,78,63.36
East Garo Hills,171,350.83,215,318.62
East Jaintia Hills,0,0,21,5.48
East Khasi Hills,5150,3044.81,5740,587.3
North Garo Hills,0,0,87,93.68
Ri Bhoi,173,102.86,2296,583.65
South Garo Hills,0,0,22,7.68
South West Garo Hills,80,122.53,213,151.48
South West Khasi Hills,0,0,5,2.54
West Garo Hills,446,920.93,1834,1240.12
West Jaintia Hills,159,276.49,237,246.1
West Khasi Hills,3,7.43,72,132.97
