district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Dimapur,279.86,79,1846.51,904,4699.03,1108,52575.97,20429
Kiphire,9.40,1,16.21,2,0.00,0,11.51,2
Kohima,324.41,13,451.68,242,3689.31,797,26568.07,10088
Longleng,0.77,1,2.07,2,0.00,0,9.96,4
Mokokchung,24.81,4,78.75,23,916.49,235,12021.36,5687
Mon,13.32,3,69.74,24,395.88,146,2772.29,1216
Noklak,0.00,0,7.44,2,0.00,0,2.17,1
Peren,0.00,0,18.67,2,4.65,3,93.76,19
Phek,13.00,1,40.49,7,25.95,6,203.99,49
Tuensang,14.00,1,40.20,6,20.66,4,111.62,19
Wokha,19.29,3,151.79,37,658.01,137,4228.46,1455
Zunheboto,0.00,0,31.89,10,167.07,50,1320.79,719
