district,amount,disbursement_no,no_of_cases_sponsored,pending_with_bank_for_no,sanctioned,sanctioned_cases_project_cost,subsidy,subsidy_released_no
Alipurduar,1.45,159.0,945.0,128.0,565.0,19.57,5.87,287.0
Bankura,6.53,388.0,2874.0,901.0,1152.0,29.19,8.42,1289.0
Birbhum,7.9,409.0,3285.0,1372.0,2108.0,42.18,4.46,1781.0
Cooch Behar,0.0,877.0,1120.0,0.0,638.0,13.69,4.08,877.0
Dakshin Dinajpur,0.0,513.0,75.0,0.0,208.0,4.45,2.14,513.0
Darjeeling,0.0,17.0,583.0,0.0,209.0,7.32,1.63,17.0
Hooghly,2.19,1234.0,3903.0,233.0,1951.0,63.72,18.8,1467.0
Howrah,2.29,605.0,2235.0,366.0,1114.0,24.88,7.49,971.0
Jalpaiguri,5.82,325.0,1781.0,729.0,1384.0,40.19,12.64,1054.0
Jhargram,0.0,394.0,0.0,0.0,0.0,0.0,0.0,394.0
Kalimpong,0.0,23.0,80.0,0.0,32.0,1.62,0.54,23.0
Kolkata,0.0,422.0,260.0,0.0,230.0,9.89,2.84,422.0
Malda,0.0,728.0,567.0,0.0,0.0,0.0,0.0,728.0
Murshidabad,3.43,921.0,4398.0,449.0,2330.0,72.02,20.94,1370.0
Nadia,0.0,1074.0,3402.0,0.0,905.0,22.76,6.83,1074.0
Paschim Bardhaman,0.0,321.0,694.0,0.0,98.0,2.81,0.82,321.0
Paschim Medinipur,0.0,1770.0,0.0,0.0,0.0,0.0,0.0,1770.0
Purba Bardhaman,3.89,406.0,2590.0,441.0,2104.0,57.54,18.37,847.0
Purba Medinipur,3.55,673.0,1682.0,491.0,1512.0,39.82,11.96,1164.0
Purulia,0.0,764.0,23.0,0.0,90.0,2.2,0.66,764.0
Uttar Dinajpur,0.0,587.0,588.0,0.0,224.0,6.07,1.82,587.0
