district,amount,average_disbursement,of_achievement_no,target_2020_21_no,total_disbursed_no,total_outstanding_no,total_sanctioned_no
Alipurduar,52.47,1.33,110.57,14100.0,15591.0,18406.0,13528.0
Bankura,76.47,1.36,146.92,29088.0,42737.0,45996.0,26319.0
Birbhum,81.84,1.97,107.01,50960.0,54531.0,55924.0,50604.0
Cooch Behar,74.4,1.24,163.97,23462.0,38471.0,44489.0,22139.0
Dakshin Dinajpur,47.42,1.03,132.8,15175.0,20153.0,20614.0,13882.0
Darjeeling,94.9,1.87,135.22,2970.0,4016.0,4466.0,3264.0
Hooghly,99.46,1.41,194.86,22002.0,42873.0,36841.0,26029.0
Howrah,106.19,1.81,155.99,22395.0,34935.0,31980.0,24146.0
Jalpaiguri,55.94,1.24,121.18,23493.0,28469.0,31020.0,19343.0
Jhargram,63.24,0.92,179.4,8661.0,15538.0,14450.0,7116.0
Kalimpong,109.07,1.97,152.47,1378.0,2101.0,2435.0,1443.0
Malda,62.54,1.07,133.91,37084.0,49660.0,49014.0,29580.0
Murshidabad,64.56,0.86,179.97,38008.0,68402.0,71424.0,29066.0
Nadia,56.65,0.87,169.06,24174.0,40868.0,42543.0,19984.0
North 24 Parganas,50.04,0.9,160.53,38005.0,61009.0,56053.0,35090.0
Paschim Bardhaman,103.69,1.75,117.09,7339.0,8593.0,8040.0,6339.0
Paschim Medinipur,82.72,1.16,183.07,32871.0,60176.0,53169.0,32568.0
Purba Bardhaman,96.1,2.05,126.02,33038.0,41633.0,46226.0,33850.0
Purba Medinipur,96.88,1.52,188.42,42328.0,79753.0,68263.0,42847.0
Purulia,48.83,0.78,143.21,20472.0,29318.0,28564.0,13935.0
South 24 Parganas,79.67,1.19,145.57,42602.0,62017.0,60701.0,29984.0
Uttar Dinajpur,92.81,1.09,211.78,14110.0,29882.0,31960.0,10666.0
