district,Total CSP,"Out Of Other Total CSP CSP,","Out Fixed Of Point Total CSP CSP,",Total ATM,Urban ATM,ATM Semi-Urban,Rural ATM,Total Branch,Urban Branch,Branch Urban Semi-,Rural Branch
East Garo Hills,56,1,56,12,1,9,2,15,1,9,5
East Jaintia Hills,104,3,99,18,0,3,15,27,0,4,23
East Khasi Hills,194,11,186,301,248,21,32,188,105,28,55
Eastern West Khasi Hills,48,2,46,6,0,4,2,12,1,4,7
North Garo Hills,87,6,79,7,0,2,5,11,0,4,7
Ri Bhoi,108,9,100,42,1,14,27,48,1,15,32
South Garo Hills,57,0,57,3,0,2,1,8,1,4,3
South West Garo Hills,91,0,91,7,0,1,6,13,0,3,10
South West Khasi Hills,25,0,25,9,0,1,8,8,0,1,7
West Garo Hills,395,34,357,52,1,41,10,45,5,20,20
West Jaintia Hills,105,12,95,32,4,19,9,43,4,20,19
West Khasi Hills,106,5,102,8,1,6,1,16,1,7,8
